Structure	acname	activity
O=C(O)c1ccc(NCc2cccc(Br)c2)cc1	IC50	3.1279616570175706
Clc1ccc(CN(Cc2ccc(Cl)cc2)c2nn[nH]n2)cc1	IC50	4.226596773348243
Clc1ccc(-n2c(SC/C=C/c3ccccc3)nnc2-c2cccnc2)cc1	IC50	4.775484123657769
O=C1N/C(=C\c2ccc(CNCc3ccccc3)cc2)C(=O)N1c1ccc(Oc2ccccc2)cc1	Ki	5.298317366548036
O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(COC4)C3)cc2)C1	IC50	11.417615285165903
O=c1c2cc(-c3ccc(Cl)cc3)cn2ncn1-c1ccc(N2CC(O)C2)nc1	Ki	11.176453228349015
Clc1ccc(C2CC(c3cccs3)n3ncnc3N2)cc1Cl	IC50	4.13441683785181
N#Cc1cccc(-c2ccc(C3(CCC(=O)Nc4ccc(F)c(F)c4)CCN(C4CCC4)CC3)cc2)c1	Ki	10.871071578797833
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(C3CCC3)CC2)c1	Ki	11.107460356862065
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C32CCN(C3CCC3)CC2)c1	Ki	11.250561200502737
N#Cc1cccc([C@]23CC[C@@H](N(CCN4CCCC(CO)C4)C(=O)Nc4ccc(F)c(Cl)c4)CC2C3)c1	Ki	11.107460356862065
O=C(N[C@@H]1Cc2ccc(CNCCC3CC3)cc2C1)c1ccc(OCC2CC2)cn1	IC50	7.072629922172371
N#Cc1cccc(-c2ccc(C(=C3CCN(CC4CC4)CC3)c3nc4cc(F)c(C(F)(F)F)cc4[nH]3)cc2)c1	IC50	12.562747589468906
N#Cc1cccc(-c2ccc(C(=C3CCN(CC4CC4)CC3)c3nc4c(Cl)cc(Cl)cc4[nH]3)cc2)c1	Ki	9.34960243930969
N#Cc1cccc(-c2ccc(C(=C3CCN(CC4CC4)CC3)c3nc4cc(Cl)c(Cl)cc4[nH]3)cc2)c1	Ki	11.107460356862065
N#Cc1cccc(-c2ccc(C(=C3CCN(CC4CC4)CC3)c3nc4cc(F)c(F)cc4[nH]3)cc2)c1	Ki	9.864266839382847
N#Cc1cccc(-c2ccc(C3(CCC(=O)Nc4ccc(F)c(F)c4)CCN(CC4CC4)CC3)cc2)c1	Ki	11.736069016284437
N#Cc1cccc(-c2ccc(C3(CNC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(CC4CC4)CC3)cc2)c1	IC50	15.58746739989615
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(CC3CC3)CC2)c1	Ki	11.585496157805064
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)C32CCN(CC3CC3)CC2)c1	Ki	9.036387064852745
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2ccc(Cl)c(Cl)c2)C32CCN(CC3CC3)CC2)c1	Ki	8.88825687280707
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2ccc(F)c(C(F)(F)F)c2)C32CCN(CC3CC3)CC2)c1	Ki	10.596634733096073
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2ccc(F)c(F)c2)C32CCN(CC3CC3)CC2)c1	Ki	10.26016249647486
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(F)cc(C(F)(F)F)c2)C32CCN(CC3CC3)CC2)c1	Ki	9.826526511399999
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C32CCN(CC3CC3)CC2)c1	Ki	11.107460356862065
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(F)cc(F)c2)C32CCN(CC3CC3)CC2)c1	Ki	9.672375831572742
